,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
0,New Norfolk,90,AU,1586970931,82,-42.78,147.06,62.01,5.82
1,Rikitea,58,PF,1586970931,68,-23.12,-134.97,75.69,2.84
2,Port Hawkesbury,90,CA,1586970710,93,45.62,-61.35,39.0,2.24
3,Alyangula,7,AU,1586970931,100,-13.85,136.42,73.4,6.89
4,Puerto Ayora,40,EC,1586970931,74,-0.74,-90.35,84.2,12.75
5,Punta Arenas,99,CL,1586970931,71,-53.15,-70.92,55.4,6.93
6,Hithadhoo,80,MV,1586970932,72,-0.6,73.08,84.99,9.46
7,Barrow,90,US,1586970932,85,71.29,-156.79,15.8,19.46
8,Areosa,40,PT,1586970932,77,41.72,-8.86,60.01,14.99
9,Mar del Plata,40,AR,1586970932,55,-38.0,-57.56,63.0,16.11
10,Saskylakh,94,RU,1586970932,91,71.92,114.08,-5.26,6.2
11,Tasiilaq,75,GL,1586970933,79,65.61,-37.64,28.4,5.82
12,Cape Town,20,ZA,1586970893,67,-33.93,18.42,66.0,6.93
13,Cabañas,40,CU,1586970933,55,22.98,-82.92,91.0,11.41
14,Albany,75,US,1586970870,39,42.6,-73.97,46.99,14.99
15,Geraldton,0,AU,1586970933,82,-28.77,114.6,60.8,8.05
16,Mataura,62,NZ,1586970933,86,-46.19,168.86,50.0,11.01
17,Rabo de Peixe,40,PT,1586970933,76,37.8,-25.58,57.2,18.34
18,Boddam,16,GB,1586970934,51,57.47,-1.78,62.6,11.41
19,Lüderitz,0,NA,1586970934,72,-26.65,15.16,64.4,19.46
20,Ahipara,43,NZ,1586970935,75,-35.17,173.17,61.12,16.84
21,Port Alfred,52,ZA,1586970935,94,-33.59,26.89,61.0,7.07
22,Kumul,99,CN,1586970935,22,42.8,93.45,66.29,9.51
23,Ponta do Sol,40,PT,1586970935,72,32.67,-17.1,64.4,13.87
24,Ushuaia,20,AR,1586970935,66,-54.8,-68.3,51.8,4.92
25,Faanui,29,PF,1586970935,67,-16.48,-151.75,82.71,9.6
26,Bengkulu,100,ID,1586970935,82,-3.8,102.27,78.42,4.45
27,Pangnirtung,90,CA,1586970935,53,66.15,-65.71,23.0,4.7
28,Tamayo,20,DO,1586970936,46,18.39,-71.2,89.6,20.8
29,Mabaruma,63,GY,1586970936,54,8.2,-59.78,86.88,8.1
30,Cherskiy,83,RU,1586970936,91,68.75,161.3,-1.5,3.13
31,Port Augusta,92,AU,1586970936,68,-32.5,137.77,72.0,13.87
32,Arraial do Cabo,20,BR,1586970936,58,-22.97,-42.03,84.2,9.17
33,Khuzhir,0,RU,1586970936,76,53.19,107.34,31.05,2.55
34,Bluff,57,NZ,1586970936,86,-46.6,168.33,50.0,11.01
35,Kruisfontein,19,ZA,1586970937,85,-34.0,24.73,59.36,0.96
36,Laguna,5,US,1586970773,51,38.42,-121.42,69.01,3.36
37,Yarovoy,49,RU,1586970937,59,52.93,78.58,43.88,10.87
38,Clyde River,75,CA,1586970937,84,70.47,-68.59,5.0,11.41
39,Osinki,100,RU,1586970937,77,52.84,49.51,51.6,22.68
40,Kavaratti,10,IN,1586970797,69,10.57,72.64,84.96,6.26
41,Hilo,90,US,1586970938,83,19.73,-155.09,71.6,8.05
42,Inhambane,40,MZ,1586970938,88,-23.86,35.38,80.6,11.41
43,Hermanus,94,ZA,1586970938,82,-34.42,19.23,64.0,2.33
44,Gurupi,100,BR,1586970661,89,-11.73,-49.07,72.68,4.41
45,Eureka,40,US,1586970938,81,40.8,-124.16,54.0,10.04
46,Busselton,34,AU,1586970938,59,-33.65,115.33,55.0,5.41
47,Dingle,22,PH,1586970939,71,11.0,122.67,78.06,6.02
48,Murray Bridge,97,AU,1586970940,66,-35.12,139.27,66.0,6.38
49,Roanoke Rapids,90,US,1586970729,47,36.46,-77.65,50.0,11.41
